experiment,0.00-0.02,0.02-0.04,0.04-0.06,0.06-0.08,0.08-0.10,0.10-0.12,0.12-0.14,0.14-0.16,0.16-0.18,0.18-0.20,0.20-0.22,0.22-0.24,0.24-0.26,0.26-0.28,0.28-0.30,0.30-0.32,0.32-0.34,0.34-0.36,0.36-0.38,0.38-0.40,0.40-0.42,0.42-0.44,0.44-0.46,0.46-0.48,0.48-0.50,0.50-0.52,0.52-0.54,0.54-0.56,0.56-0.58,0.58-0.60,0.60-0.62,0.62-0.64,0.64-0.66,0.66-0.68,0.68-0.70,0.70-0.72,0.72-0.74,0.74-0.76,0.76-0.78,0.78-0.80,0.80-0.82,0.82-0.84,0.84-0.86,0.86-0.88,0.88-0.90,0.90-0.92,0.92-0.94,0.94-0.96,0.96-0.98,0.98-1.00
run2step_qwen2.5-14b_pg19_prefix32800_gamma1_4_budget0.02_taskgov_report_draft,122,103,78,63,72,53,41,39,30,38,35,29,18,33,19,25,25,17,24,23,21,24,13,21,23,20,15,14,14,14,14,17,18,21,13,22,17,13,10,19,15,24,17,20,23,26,33,47,64,365
run2step_qwen2.5-14b_pg19_prefix32800_gamma1_4_budget0.02_taskgov_report_reject,46,23,15,8,6,3,3,3,2,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
run2step_qwen2.5-14b_pg19_prefix32800_gamma1_4_budget0.02_taskgov_report_budget_0.10_reject,36,20,9,4,3,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
run2step_qwen2.5-14b_pg19_prefix32800_gamma1_4_budget0.02_taskgov_report_budget_0.25_reject,41,21,9,7,5,2,2,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
run2step_qwen2.5-14b_pg19_prefix32800_gamma1_4_budget0.02_taskgov_report_budget_0.40_reject,40,23,11,7,4,3,3,2,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
