experiment,0.00-0.02,0.02-0.04,0.04-0.06,0.06-0.08,0.08-0.10,0.10-0.12,0.12-0.14,0.14-0.16,0.16-0.18,0.18-0.20,0.20-0.22,0.22-0.24,0.24-0.26,0.26-0.28,0.28-0.30,0.30-0.32,0.32-0.34,0.34-0.36,0.36-0.38,0.38-0.40,0.40-0.42,0.42-0.44,0.44-0.46,0.46-0.48,0.48-0.50,0.50-0.52,0.52-0.54,0.54-0.56,0.56-0.58,0.58-0.60,0.60-0.62,0.62-0.64,0.64-0.66,0.66-0.68,0.68-0.70,0.70-0.72,0.72-0.74,0.74-0.76,0.76-0.78,0.78-0.80,0.80-0.82,0.82-0.84,0.84-0.86,0.86-0.88,0.88-0.90,0.90-0.92,0.92-0.94,0.94-0.96,0.96-0.98,0.98-1.00
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft,784,616,444,376,287,278,259,255,227,178,158,165,149,125,128,146,113,129,84,112,97,89,92,78,92,96,72,73,89,86,74,86,71,66,80,48,71,87,66,74,85,89,92,92,94,100,113,155,205,1135
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject,181,69,31,10,5,2,0,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft_top1_logits,2,29,74,141,212,233,234,272,240,243,249,255,223,219,226,185,196,184,206,162,174,193,159,156,161,149,129,148,113,113,123,104,102,119,111,111,101,81,91,92,104,101,103,116,107,146,135,159,239,1235
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject_top1_logits,0,6,12,23,35,33,22,19,16,20,16,15,11,18,8,8,8,7,1,6,4,4,3,0,3,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
