experiment,0.00-0.02,0.02-0.04,0.04-0.06,0.06-0.08,0.08-0.10,0.10-0.12,0.12-0.14,0.14-0.16,0.16-0.18,0.18-0.20,0.20-0.22,0.22-0.24,0.24-0.26,0.26-0.28,0.28-0.30,0.30-0.32,0.32-0.34,0.34-0.36,0.36-0.38,0.38-0.40,0.40-0.42,0.42-0.44,0.44-0.46,0.46-0.48,0.48-0.50,0.50-0.52,0.52-0.54,0.54-0.56,0.56-0.58,0.58-0.60,0.60-0.62,0.62-0.64,0.64-0.66,0.66-0.68,0.68-0.70,0.70-0.72,0.72-0.74,0.74-0.76,0.76-0.78,0.78-0.80,0.80-0.82,0.82-0.84,0.84-0.86,0.86-0.88,0.88-0.90,0.90-0.92,0.92-0.94,0.94-0.96,0.96-0.98,0.98-1.00
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft,773.0,604.0,480.0,364.0,306.0,283.0,238.0,262.0,219.0,162.0,161.0,150.0,169.0,125.0,135.0,134.0,103.0,120.0,95.0,103.0,107.0,97.0,86.0,80.0,86.0,99.0,81.0,76.0,80.0,87.0,87.0,79.0,73.0,76.0,72.0,62.0,72.0,84.0,66.0,74.0,82.0,111.0,89.0,98.0,94.0,100.0,125.0,148.0,223.0,1120.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject,186.0,70.0,30.0,15.0,5.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.25_reject,100.0,32.0,13.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.40_reject,144.0,47.0,17.0,10.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft_top1_logits,2.0,26.0,73.0,140.0,214.0,217.0,233.0,262.0,240.0,263.0,241.0,248.0,228.0,226.0,198.0,217.0,200.0,188.0,183.0,167.0,166.0,189.0,163.0,162.0,154.0,141.0,135.0,136.0,126.0,118.0,125.0,109.0,104.0,112.0,116.0,120.0,95.0,103.0,79.0,98.0,104.0,111.0,105.0,120.0,122.0,149.0,138.0,160.0,253.0,1221.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject_top1_logits,0.0,5.0,11.0,21.0,32.0,26.0,28.0,26.0,15.0,26.0,23.0,17.0,9.0,9.0,18.0,10.0,2.0,10.0,4.0,1.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.25_reject_top1_logits,0.0,1.0,8.0,11.0,15.0,12.0,10.0,16.0,7.0,12.0,7.0,8.0,3.0,4.0,13.0,4.0,5.0,1.0,3.0,1.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.40_reject_top1_logits,0.0,3.0,11.0,19.0,24.0,17.0,21.0,22.0,15.0,9.0,16.0,10.0,7.0,8.0,13.0,6.0,4.0,2.0,4.0,1.0,2.0,2.0,5.0,2.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
