experiment,0.00-0.02,0.02-0.04,0.04-0.06,0.06-0.08,0.08-0.10,0.10-0.12,0.12-0.14,0.14-0.16,0.16-0.18,0.18-0.20,0.20-0.22,0.22-0.24,0.24-0.26,0.26-0.28,0.28-0.30,0.30-0.32,0.32-0.34,0.34-0.36,0.36-0.38,0.38-0.40,0.40-0.42,0.42-0.44,0.44-0.46,0.46-0.48,0.48-0.50,0.50-0.52,0.52-0.54,0.54-0.56,0.56-0.58,0.58-0.60,0.60-0.62,0.62-0.64,0.64-0.66,0.66-0.68,0.68-0.70,0.70-0.72,0.72-0.74,0.74-0.76,0.76-0.78,0.78-0.80,0.80-0.82,0.82-0.84,0.84-0.86,0.86-0.88,0.88-0.90,0.90-0.92,0.92-0.94,0.94-0.96,0.96-0.98,0.98-1.00
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft,773.0,604.0,480.0,364.0,306.0,283.0,238.0,262.0,219.0,162.0,161.0,150.0,169.0,125.0,135.0,134.0,103.0,120.0,95.0,103.0,107.0,97.0,86.0,80.0,86.0,99.0,81.0,76.0,80.0,87.0,87.0,79.0,73.0,76.0,72.0,62.0,72.0,84.0,66.0,74.0,82.0,111.0,89.0,98.0,94.0,100.0,125.0,148.0,223.0,1120.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject,186.0,70.0,30.0,15.0,5.0,4.0,3.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.20_reject,100.0,32.0,13.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.40_reject,144.0,47.0,17.0,10.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_draft,1611.0,1271.0,930.0,737.0,639.0,584.0,501.0,497.0,449.0,371.0,332.0,337.0,316.0,272.0,269.0,255.0,241.0,237.0,207.0,195.0,212.0,202.0,173.0,188.0,199.0,176.0,150.0,166.0,149.0,156.0,178.0,145.0,147.0,146.0,144.0,113.0,129.0,134.0,146.0,130.0,182.0,173.0,152.0,179.0,177.0,182.0,230.0,299.0,397.0,2259.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_reject,404.0,148.0,70.0,32.0,7.0,13.0,4.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.25_reject,262.0,75.0,38.0,13.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
run2step_Meta-Llama-3.1-8B_pg19_prefix32768_gamma1_4_budget0.1_taskgov_report_budget_0.40_reject,317.0,95.0,52.0,20.0,3.0,5.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
