reads_count,num_planes,percentage
1,15,0.18
2,106,1.29
3,433,5.29
4,1098,13.40
5,1888,23.05
6,2083,25.43
7,1497,18.27
8,712,8.69
9,254,3.10
10,79,0.96
11,21,0.26
12,4,0.05
13,1,0.01
14,1,0.01
