reads_count,num_planes,percentage
0,41,0.13
1,539,1.64
2,2208,6.74
3,5560,16.97
4,8043,24.55
5,7615,23.24
6,4878,14.89
7,2532,7.73
8,960,2.93
9,319,0.97
10,68,0.21
11,5,0.02
