plane_index,reads_count
0,14
1,12
2,11
3,8
4,9
5,9
6,9
7,8
8,10
9,9
10,10
11,12
12,12
13,11
14,10
15,11
16,12
17,11
18,9
19,12
20,10
21,11
22,16
23,18
24,15
25,12
26,13
27,17
28,16
29,15
30,12
31,11
32,14
33,15
34,14
35,11
36,12
37,13
38,14
39,11
40,9
41,14
42,16
43,9
44,13
45,17
46,12
47,11
48,19
49,16
50,15
51,12
52,13
53,14
54,12
55,13
56,15
57,14
58,15
59,11
60,15
61,15
62,12
63,12
64,11
65,11
66,11
67,12
68,9
69,12
70,12
71,13
72,12
73,11
74,12
75,15
76,12
77,10
78,13
79,18
80,11
81,12
82,12
83,14
84,14
85,13
86,14
87,12
88,9
89,14
90,13
91,10
92,10
93,13
94,10
95,12
96,15
97,10
98,10
99,15
100,17
101,14
102,13
103,14
104,10
105,11
106,10
107,13
108,14
109,9
110,15
111,8
112,8
113,14
114,10
115,11
116,10
117,13
118,15
119,15
120,13
121,10
122,11
123,18
124,16
125,15
126,12
127,10
128,17
129,15
130,13
131,15
132,13
133,13
134,12
135,12
136,13
137,8
138,8
139,11
140,12
141,15
142,10
143,9
144,11
145,17
146,17
147,9
148,13
149,14
150,9
151,9
152,13
153,13
154,9
155,17
156,16
157,11
158,12
159,11
160,15
161,18
162,14
163,14
164,13
165,13
166,16
167,19
168,14
169,12
170,10
171,13
172,15
173,10
174,13
175,15
176,12
177,11
178,12
179,11
180,9
181,10
182,9
183,11
184,11
185,10
186,9
187,14
188,12
189,12
190,12
191,14
192,12
193,14
194,12
195,10
196,10
197,12
198,10
199,11
200,13
201,12
202,13
203,14
204,9
205,14
206,12
207,13
208,13
209,12
210,12
211,17
212,14
213,15
214,16
215,15
216,13
217,17
218,14
219,9
220,15
221,16
222,15
223,10
224,14
225,10
226,16
227,20
228,14
229,12
230,12
231,15
232,11
233,10
234,18
235,13
236,11
237,14
238,16
239,9
240,7
241,9
242,12
243,13
244,14
245,12
246,10
247,9
248,14
249,13
250,13
251,12
252,12
253,10
254,12
255,17
256,11
257,10
258,15
259,16
260,12
261,13
262,13
263,10
264,11
265,13
266,14
267,15
268,10
269,9
270,13
271,12
272,11
273,13
274,12
275,10
276,8
277,11
278,14
279,13
280,12
281,14
282,8
283,7
284,9
285,12
286,10
287,11
288,12
289,10
290,13
291,13
292,9
293,9
294,12
295,12
296,14
297,14
298,13
299,15
300,10
301,10
302,8
303,12
304,14
305,15
306,15
307,11
308,14
309,13
310,15
311,14
312,12
313,12
314,14
315,10
316,8
317,7
318,11
319,11
320,9
321,8
322,11
323,12
324,12
325,14
326,13
327,12
328,11
329,14
330,10
331,11
332,12
333,13
334,12
335,9
336,10
337,11
338,12
339,9
340,10
341,9
342,11
343,8
344,10
345,11
346,12
347,11
348,13
349,14
350,15
351,12
352,10
353,10
354,9
355,12
356,16
357,18
358,13
359,13
360,14
361,9
362,12
363,14
364,13
365,14
366,13
367,12
368,12
369,10
370,11
371,10
372,13
373,11
374,10
375,12
376,12
377,12
378,9
379,9
380,10
381,10
382,10
383,10
384,11
385,9
386,10
387,12
388,13
389,13
390,15
391,15
392,19
393,17
394,15
395,11
396,11
397,13
398,7
399,8
400,10
401,8
402,13
403,12
404,13
405,13
406,15
407,15
408,16
409,10
410,14
411,14
412,11
413,10
414,8
415,11
416,11
417,12
418,12
419,9
420,8
421,12
422,14
423,14
424,15
425,14
426,14
427,11
428,12
429,11
430,13
431,11
432,13
433,12
434,13
435,12
436,10
437,12
438,9
439,13
440,16
441,14
442,12
443,12
444,16
445,11
446,9
447,13
448,13
449,10
450,10
451,11
452,11
453,7
454,10
455,13
456,12
457,10
458,13
459,18
460,14
461,12
462,12
463,14
464,15
465,10
466,11
467,12
468,13
469,13
470,10
471,15
472,13
473,11
474,10
475,10
476,14
477,14
478,15
479,12
480,10
481,10
482,9
483,11
484,12
485,8
486,8
487,9
488,11
489,8
490,12
491,10
492,11
493,10
494,9
495,10
496,13
497,12
498,14
499,11
500,14
501,18
502,12
503,13
504,14
505,14
506,14
507,13
508,11
509,11
510,12
511,12
512,9
513,13
514,11
515,13
516,11
517,9
518,6
519,7
520,10
521,10
522,10
523,14
524,12
525,13
526,15
527,14
528,16
529,15
530,9
531,8
532,9
533,9
534,10
535,9
536,12
537,11
538,11
539,14
540,14
541,13
542,11
543,7
544,16
545,14
546,15
547,14
548,13
549,13
550,12
551,12
552,11
553,11
554,11
555,10
556,9
557,10
558,9
559,9
560,10
561,10
562,11
563,10
564,9
565,9
566,9
567,11
568,11
569,11
570,13
571,13
572,12
573,12
574,14
575,14
576,13
577,14
578,11
579,11
580,13
581,14
582,14
583,14
584,11
585,13
586,13
587,9
588,12
589,13
590,11
591,11
592,15
593,9
594,10
595,9
596,10
597,11
598,9
599,13
600,11
601,13
602,11
603,8
604,10
605,13
606,12
607,11
608,11
609,7
610,9
611,9
612,11
613,8
614,10
615,11
616,10
617,8
618,14
619,10
620,11
621,9
622,8
623,11
624,12
625,16
626,15
627,13
628,13
629,9
630,9
631,10
632,13
633,11
634,11
635,14
636,15
637,10
638,9
639,8
640,13
641,15
642,12
643,13
644,12
645,11
646,9
647,13
648,13
649,11
650,10
651,9
652,11
653,13
654,10
655,7
656,10
657,11
658,12
659,13
660,14
661,12
662,13
663,13
664,13
665,12
666,12
667,10
668,10
669,10
670,9
671,10
672,12
673,14
674,15
675,8
676,10
677,14
678,15
679,12
680,15
681,15
682,11
683,3
684,11
685,12
686,13
687,11
688,8
689,7
690,10
691,13
692,11
693,11
694,11
695,13
696,13
697,12
698,14
699,13
700,11
701,10
702,9
703,10
704,10
705,11
706,11
707,11
708,8
709,7
710,9
711,10
712,7
713,10
714,10
715,10
716,14
717,16
718,12
719,8
720,11
721,11
722,12
723,13
724,15
725,13
726,11
727,11
728,13
729,11
730,10
731,9
732,11
733,11
734,12
735,11
736,16
737,14
738,13
739,8
740,9
741,13
742,12
743,12
744,15
745,13
746,11
747,12
748,13
749,11
750,11
751,8
752,9
753,12
754,13
755,14
756,9
757,12
758,14
759,13
760,12
761,8
762,11
763,11
764,11
765,11
766,9
767,9
768,15
769,13
770,12
771,11
772,10
773,15
774,17
775,17
776,13
777,13
778,9
779,7
780,11
781,8
782,10
783,11
784,13
785,12
786,8
787,7
788,9
789,12
790,12
791,10
792,12
793,10
794,12
795,14
796,10
797,10
798,12
799,11
800,10
801,11
802,13
803,15
804,10
805,7
806,11
807,18
808,15
809,11
810,11
811,9
812,11
813,13
814,13
815,12
816,13
817,10
818,11
819,14
820,12
821,10
822,12
823,7
824,12
825,11
826,14
827,14
828,13
829,13
830,10
831,11
832,12
833,12
834,9
835,10
836,8
837,10
838,15
839,12
840,13
841,12
842,13
843,13
844,13
845,14
846,11
847,8
848,11
849,13
850,13
851,13
852,9
853,6
854,8
855,11
856,10
857,11
858,17
859,16
860,13
861,14
862,9
863,9
864,12
865,12
866,13
867,12
868,9
869,12
870,12
871,10
872,14
873,12
874,11
875,12
876,15
877,13
878,15
879,13
880,12
881,14
882,12
883,14
884,12
885,11
886,11
887,12
888,11
889,10
890,9
891,9
892,9
893,10
894,11
895,11
896,13
897,10
898,7
899,11
900,17
901,15
902,13
903,14
904,16
905,13
906,11
907,10
908,13
909,6
910,11
911,14
912,14
913,12
914,16
915,16
916,12
917,11
918,12
919,13
920,9
921,12
922,14
923,13
924,14
925,11
926,12
927,14
928,14
929,13
930,15
931,16
932,13
933,11
934,10
935,11
936,14
937,9
938,12
939,13
940,10
941,11
942,15
943,14
944,9
945,10
946,16
947,15
948,11
949,11
950,10
951,11
952,13
953,13
954,10
955,13
956,11
957,11
958,12
959,9
960,14
961,13
962,12
963,10
964,8
965,10
966,9
967,9
968,9
969,11
970,9
971,9
972,11
973,13
974,13
975,15
976,11
977,10
978,13
979,14
980,12
981,13
982,10
983,14
984,14
985,11
986,12
987,11
988,12
989,14
990,11
991,11
992,15
993,15
994,13
995,12
996,11
997,9
998,8
999,6
1000,8
1001,7
1002,6
1003,5
1004,6
1005,8
1006,9
1007,7
1008,8
1009,11
1010,14
1011,11
1012,12
1013,15
1014,16
1015,14
1016,17
1017,19
1018,17
1019,15
1020,19
1021,15
1022,14
1023,16
1024,14
1025,14
1026,11
1027,12
1028,14
1029,12
1030,11
1031,11
1032,12
1033,14
1034,9
1035,9
1036,9
1037,12
1038,13
1039,8
1040,9
1041,10
1042,10
1043,13
1044,10
1045,10
1046,12
1047,12
1048,13
1049,13
1050,12
1051,14
1052,11
1053,11
1054,12
1055,11
1056,6
1057,6
1058,5
1059,6
1060,7
1061,6
1062,8
1063,11
1064,11
1065,13
1066,12
1067,15
1068,14
1069,12
1070,19
1071,18
1072,19
1073,17
1074,17
1075,15
1076,12
1077,12
1078,13
1079,18
1080,14
1081,11
1082,10
1083,11
1084,13
1085,9
1086,9
1087,7
1088,10
1089,10
1090,10
1091,11
1092,14
1093,13
1094,11
1095,12
1096,11
1097,11
1098,12
1099,11
1100,12
1101,12
1102,11
1103,12
1104,12
1105,12
1106,13
1107,12
1108,12
1109,13
1110,13
1111,10
1112,12
1113,12
1114,12
1115,13
1116,16
1117,12
1118,12
1119,11
1120,10
1121,11
1122,11
1123,11
1124,10
1125,10
1126,12
1127,14
1128,15
1129,12
1130,11
1131,12
1132,11
1133,10
1134,11
1135,7
1136,11
1137,11
1138,9
1139,7
1140,9
1141,10
1142,12
1143,13
1144,12
1145,15
1146,16
1147,13
1148,14
1149,15
1150,15
1151,11
1152,9
1153,7
1154,11
1155,9
1156,10
1157,10
1158,14
1159,15
1160,13
1161,12
1162,12
1163,12
1164,10
1165,13
1166,12
1167,16
1168,9
1169,7
1170,8
1171,8
1172,7
1173,17
1174,16
1175,11
1176,10
1177,10
1178,9
1179,15
1180,12
1181,15
1182,16
1183,13
1184,15
1185,15
1186,13
1187,13
1188,11
1189,10
1190,11
1191,11
1192,12
1193,13
1194,14
1195,12
1196,12
1197,14
1198,11
1199,10
1200,8
1201,11
1202,11
1203,13
1204,11
1205,11
1206,13
1207,9
1208,10
1209,12
1210,10
1211,12
1212,14
1213,13
1214,11
1215,11
1216,15
1217,13
1218,12
1219,15
1220,14
1221,11
1222,13
1223,13
1224,14
1225,13
1226,10
1227,9
1228,11
1229,12
1230,13
1231,14
1232,12
1233,10
1234,11
1235,9
1236,7
1237,12
1238,13
1239,11
1240,11
1241,11
1242,9
1243,8
1244,12
1245,11
1246,11
1247,11
1248,11
1249,12
1250,12
1251,14
1252,13
1253,14
1254,12
1255,15
1256,13
1257,13
1258,12
1259,9
1260,7
1261,5
1262,11
1263,13
1264,11
1265,13
1266,13
1267,15
1268,12
1269,14
1270,12
1271,11
1272,14
1273,12
1274,10
1275,12
1276,9
1277,9
1278,11
1279,11
1280,9
1281,11
1282,8
1283,11
1284,7
1285,4
1286,5
1287,5
1288,8
1289,10
1290,9
1291,9
1292,9
1293,12
1294,11
1295,12
1296,12
1297,13
1298,14
1299,15
1300,16
1301,17
1302,18
1303,18
1304,16
1305,15
1306,18
1307,18
1308,13
1309,14
1310,11
1311,7
1312,8
1313,9
1314,10
1315,9
1316,10
1317,11
1318,11
1319,12
1320,12
1321,11
1322,12
1323,11
1324,13
1325,14
1326,12
1327,12
1328,13
1329,12
1330,15
1331,15
1332,15
1333,13
1334,15
1335,14
1336,14
1337,12
1338,12
1339,13
1340,12
1341,14
1342,12
1343,13
1344,12
1345,9
1346,9
1347,13
1348,11
1349,11
1350,9
1351,12
1352,9
1353,11
1354,13
1355,12
1356,6
1357,14
1358,9
1359,10
1360,10
1361,9
1362,15
1363,13
1364,12
1365,11
1366,11
1367,15
1368,8
1369,15
1370,15
1371,14
1372,13
1373,11
1374,9
1375,11
1376,12
1377,14
1378,11
1379,15
1380,13
1381,10
1382,11
1383,13
1384,10
1385,12
1386,11
1387,13
1388,10
1389,13
