,,batch,throughput
case2,Flash,8,0.653103106
case2,,32,0.653873214
case2,,128,0.654059114
case4,Flash+SD,8,3.498151755
case4,,32,3.570380386
case4,,128,3.588347042
case9,Flash+DRAM+SD,8,12.92771657
case9,,32,4.721491639
case9,,128,3.822503377
case8,Inf.DRAM+SD,8,12.92771657
case8,,32,13.97230739
case8,,128,14.25155451
case5,PIM+SD,8,41.94932463
case5,,32,55.38556697
case5,,128,60.04964009
case6,PIM+SD+LB,8,53.61154644
case6,,32,77.70214507
case6,,128,87.20447527
case7,PIM+SD+LB+DV,8,57.18645049
case7,,32,80.33600258
case7,,128,89.08047934
