prefix_len,draft_budget,gamma,accept_rate
8224,257,16,0.9352
8224,513,16,0.9784
8224,1025,16,0.9724
8224,2049,16,0.9890
16416,513,16,0.0123
16416,1025,16,0.0125
16416,2049,16,0.0128
16416,4097,16,0.1099
