,,batch,throughput
case2,Flash,8,2.616268233
case2,,32,2.628670313
case2,,128,2.631677344
case4,Flash+SD,8,24.98553916
case4,,32,26.9415525
case4,,128,27.46289692
case9,Flash+DRAM+SD,8,77.10230147
case9,,32,99.36390611
case9,,128,36.41244865
case8,Inf.DRAM+SD,8,77.10230147
case8,,32,99.36390611
case8,,128,106.8445095
case5,PIM+SD,8,142.3740596
case5,,32,242.8371224
case5,,128,292.9660115
case6,PIM+SD+LB,8,169.695572
case6,,32,334.7682822
case6,,128,438.1123535
case7,PIM+SD+LB+DV,8,182.1815753
case7,,32,391.0955041
case7,,128,541.7380177
