,,batch,throughput
case2,Flash,8,1.313881225
case2,,32,1.317001684
case2,,128,1.317756065
case4,Flash+SD,8,8.562397348
case4,,32,8.910393734
case4,,128,8.999084215
case9,Flash+DRAM+SD,8,29.54697408
case9,,32,17.41437219
case9,,128,10.26470045
case8,Inf.DRAM+SD,8,29.54697408
case8,,32,34.14929887
case8,,128,35.48979985
case5,PIM+SD,8,71.76710837
case5,,32,106.6925617
case5,,128,120.9678877
case6,PIM+SD+LB,8,90.48844575
case6,,32,154.0855902
case6,,128,185.7413217
case7,PIM+SD+LB+DV,8,109.5840968
case7,,32,192.5815628
case7,,128,235.9086594
