,,batch,throughput
case2,Flash,8,0.869983
case2,,32,0.871076
case2,,128,0.871348
case4,Flash+SD,8,3.796268065
case4,,32,3.885014255
case4,,128,3.906579108
case9,Flash+DRAM+SD,8,13.88483824
case9,,32,5.752850311
case9,,128,4.25377468
case8,Inf.DRAM+SD,8,13.88483824
case8,,32,15.15066015
case8,,128,15.48398804
case5,PIM+SD,8,42.79780893
case5,,32,57.64219653
case5,,128,62.78440357
case6,PIM+SD+LB,8,53.78966162
case6,,32,79.53138211
case6,,128,89.66379584
case7,PIM+SD+LB+DV,8,64.89818094
case7,,32,93.23343894
case7,,128,103.950627



